,,,,,,
,This Weeks Sales Report,,,,,
,As of 2025-07-22 16:52:36 Greenwich Mean Time/GMT • Generated by Hriday D,,,,,
,,,,,,
,,,,,,
,Filtered By,,,,,
,Show: All enquiries,,,,,
,Date Field: Create Date equals Custom (11/07/2025 to null),,,,,
,Department equals Sales,,,,,
,,,,,,
,Make Car,,Model car,Price,Reg,
,,,,,,
,,,,,,
,,,,,,
,Mercedes,,CLK 320 Convertible,,,
,Audi,,R8 V10 Plus Coupe,"GBP64,900",,
,Bentley,,Continental,"GBP43,900",T18NJU,
,Land Rover,,Defender 130,"GBP94,900",,
,Mercedes,,Vito Full Custom VIP Conversion,"GBP84,900",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Audi,,RSQ8,"GBP77,900",HW70BNN,
,Porsche,,718 GT4 Manual,"GBP82,900",,
,McLaren,,570GT,"GBP84,900",,
,Audi,,A8,"GBP24,900",,
,Lamborghini,,Urus,"GBP197,900",,
,,,,,,
,Porsche,,GT3 992.1,"GBP149,900",,
,,,,,,
,Audi,,A8,"GBP24,900",KV68NHX,
,,,,,,
,,,,,,
,Maserati,,Grancabrio,"GBP64,900",,
,Rolls Royce,,Wraith,"GBP74,900",,
,,,,,,
,,,,,,
,Mercedes,,AMG G63,"GBP131,900",,
,Lamborghini,,Huracan LP610-4 Coupe,"GBP126,900",,
,ferrari,,roma,,,
,Porsche,,991.2 gt3,,,
,Ariel,,Nomad,"GBP61,900",WA17FCP,
,Audi,,A8,"GBP24,900",KV68NHX,
,Mercedes,,Sprinter,,,
,,,,,,
,,,,,,
,Audi,,RS5,"GBP38,900",MX20MVL,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,BMW,,Alpina B5,"GBP69,900",RV19ORW,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Aston Martin,,Vantage,"GBP139,900",AF18ENO,
,Aston Martin,,Vantage,"GBP64,900",VX62FWW,
,Lamborghini,,Huracan Tecnica LP640-2,"GBP219,900",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Porsche,,GT4,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Ariel,,Nomad,"GBP61,900",WA17FCP,
,Ferrari,,Portofino M,"GBP169,900",AB11DLN,
,Ferrari,,F8 Tributo,,,
,Mercedes,,V Class,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Bentley,,Bentayga,"GBP44,900",E3BAG,
,McLaren,,570S,"GBP89,900",MY57OSE,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,McLaren,,12C,"GBP64,900",WO11JAY,
,,,,,,
,Mercedes,,C63 AMG Cabriolet,"GBP37,500",,
,McLaren,,570S Spider,"GBP89,900",,
,Ferrari,,Portofino M,"GBP169,900",,
,Audi,,RS5,"GBP38,900",MX20MVL,
,Lamborghini,,Urus,,,
,,,,,,
,,,,,,
,Lamborghini,,Urus,,,
,Rolls-Royce,,Wraith,,,
,,,,,,
,McLaren,,720s,"GBP144,900",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Ferrari,,SF90 Spider,"GBP499,990",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Audi,,R8,"GBP92,900",LR70OXB,
,BMW,,RS5 carbon black edition,,,
,,,,,,
,,,,,,
,Aston Martin,,V12 Vantage S Manual,"GBP119,900",,
,,,,,,
,Porsche,,911,"GBP119,900",VN21JNZ,
,Aston Martin,,DBX 707,"GBP149,900",,
,Porsche,,991.2 Targa,,,
,Lamborghini,,Huracan,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Total,Sum,,"GBP3,845,990",,
,,Count,117,,,
,,,,,,
,,,,,,
